videoID,resolution,size(MB),duration(s)
x6l3ut9,720p,46,188
x6l3ut9,480p,18,188
x6l3ut9,360p,10,188
x6l3ut9,240p,6,188
x6l3ut9,144p,2,188
x6l3uta,1080p,120,155
x6l3uta,720p,41,155
x6l3uta,480p,16,155
x6l3uta,360p,9,155
x6l3uta,240p,4.8,155
x6l3uta,144p,2,155
x6l3utb,1080p,215,276
x6l3utb,720p,75,276
x6l3utb,480p,35,276
x6l3utb,360p,29,276
x6l3utb,240p,15,276
x6l3utb,144p,8,276
x6z9g8b,1080p,14,18
x6z9g8b,720p,4.8,18
x6z9g8b,480p,1.9,18
x6z9g8b,360p,1,18
x6z9g8b,240p,0.5,18
x6z9g8b,144p,0.2,18
x730nnd,1080p,46,188
x730nnd,720p,16,188
x730nnd,480p,6.2,188
x730nnd,360p,3.4,188
x730nnd,240p,1.8,188
x730nnd,144p,0.7,188
x7nh7vq,1080p,205.3,264
x7nh7vq,720p,70.9,264
x7nh7vq,480p,27.6,264
x7nh7vq,360p,15.2,264
x7nh7vq,240p,8.1,264
x7nh7vq,144p,3,264
x749wcd,720p,221,285
x749wcd,480p,77,285
x749wcd,360p,30,285
x749wcd,240p,16,285
x749wcd,144p,3,285
x790xx2,1080p,74,95
x790xx2,720p,25.5,95
x790xx2,480p,10,95
x790xx2,360p,5.5,95
x790xx2,240p,3,95
x790xx2,144p,1.2,95
x7auf1e,1080p,122,157
x7auf1e,720p,42,157
x7auf1e,480p,16.4,157
x7auf1e,360p,9,157
x7auf1e,240p,4.8,157
x7auf1e,144p,2.1,157
x7ncov8,1080p,1200,1297
x7ncov8,720p,415,1297
x7ncov8,480p,162,1297
x7ncov8,360p,90,1297
x7ncov8,240p,48,1297
x7ncov8,144p,20,1297
x7nkkqk,720p,106,394
x7nkkqk,480p,41.2,394
x7nkkqk,360p,22.7,394
x7nkkqk,240p,12,394
x7nkkqk,144p,5,394
x7nluki,1080p,112,143
x7nluki,720p,39,143
x7nluki,480p,15,143
x7nluki,360p,8,143
x7nluki,240p,4,143
x7nluki,144p,1,143
x7nlxh9,1080p,118,151
x7nlxh9,720p,40,151
x7nlxh9,480p,16,151
x7nlxh9,360p,8.7,151
x7nlxh9,240p,4.7,151
x7nlxh9,144p,2,151
x7nlxha,1080p,191,246
x7nlxha,720p,66,246
x7nlxha,480p,25.4,246
x7nlxha,360p,14.2,246
x7nlxha,240p,7.6,246
x7nlxha,144p,2.4,246
x7nlzge,1080p,76.2,98
x7nlzge,720p,26.3,98
x7nlzge,480p,10.2,98
x7nlzge,360p,5.6,98
x7nlzge,240p,3,98
x7nlzge,144p,1.3,98
x7nmk4q,1080p,70,90
x7nmk4q,720p,25,90
x7nmk4q,480p,10,90
x7nmk4q,360p,5.2,90
x7nmk4q,240p,2.8,90
x7nmk4q,144p,1.2,90
x7nmk7x,720p,7,38
x7nmk7x,480p,4,38
x7nmk7x,360p,2.2,38
x7nmk7x,240p,1.2,38
x7nmk7x,144p,0.4,38
x7nmmed,720p,12,57
x7nmmed,480p,7,57
x7nmmed,360p,3.3,57
x7nmmed,240p,1.8,57
x7nmmed,144p,0.7,57
x7nmmkw,1080p,72,92
x7nmmkw,720p,25,92
x7nmmkw,480p,10,92
x7nmmkw,360p,5.4,92
x7nmmkw,240p,2.8,92
x7nmmkw,144p,1.2,92
x7nmmvl,720p,12,75
x7nmmvl,480p,8,75
x7nmmvl,360p,4.3,75
x7nmmvl,240p,2.3,75
x7nmmvl,144p,0.9,75
x7nmn10,1080p,77,99
x7nmn10,720p,26.6,99
x7nmn10,480p,10.3,99
x7nmn10,360p,5.7,99
x7nmn10,240p,3,99
x7nmn10,144p,1.3,99
x7nmnes,1080p,347,475
x7nmnes,720p,119,475
x7nmnes,480p,46,475
x7nmnes,360p,25,475
x7nmnes,240p,13,475
x7nmnes,144p,5,475
x7nmps9,1080p,70,90
x7nmps9,720p,25,90
x7nmps9,480p,9,90
x7nmps9,360p,5,90
x7nmps9,240p,2,90
x7nmps9,144p,1,90
x7nmsdt,480p,30,381
x7nmsdt,360p,11,381
x7nmsdt,240p,5,381
x7nmsdt,144p,1,381
x7nmyky,720p,11,40
x7nmyky,480p,4,40
x7nmyky,360p,2,40
x7nmyky,240p,1.2,40
x7nmyky,144p,0.5,40
x7nmyud,720p,6,23
x7nmyud,480p,2.4,23
x7nmyud,360p,1.3,23
x7nmyud,240p,0.7,23
x7nmyud,144p,0.3,23
x7nmyx5,480p,4.4,42
x7nmyx5,360p,2.4,42
x7nmyx5,240p,1.3,42
x7nmyx5,144p,0.5,42
x7nqnme,1080p,23.3,30
x7nqnme,720p,8.1,30
x7nqnme,480p,3.1,30
x7nqnme,360p,1.7,30
x7nqnme,240p,0.9,30
x7nqnme,144p,0.3,30
x7nqnmu,1080p,116,148
x7nqnmu,720p,40,148
x7nqnmu,480p,16,148
x7nqnmu,360p,8.5,148
x7nqnmu,240p,4.6,148
x7nqnmu,144p,1.9,148
x7q6scr,1080p,84,107
x7q6scr,720p,28,107
x7q6scr,480p,11,107
x7q6scr,360p,9,107
x7q6scr,240p,6,107
x7q6scr,144p,1,107
x7rfx6o,720p,5.20
x7rfx6o,480p,2.1,20
x7rfx6o,360p,1.2,20
x7rfx6o,240p,0.6,20
x7rfx6o,144p,0.2,20
x7rfx6s,720p,11,38
x7rfx6s,480p,4,38
x7rfx6s,360p,2.2,38
x7rfx6s,240p,1.2,38
x7rfx6s,144p,0.4,38
x7rfx6u,720p,25,93
x7rfx6u,480p,10,93
x7rfx6u,360p,5.4,93
x7rfx6u,240p,2.4,93
x7rfx6u,144p,1.2,93
x7rfx6v,720p,25,93
x7rfx6v,480p,10,93
x7rfx6v,360p,5.4,93
x7rfx6v,240p,2.4,93
x7rfx6v,144p,1.2,93
x7rfyw9,720p,64,235
x7rfyw9,480p,24,235
x7rfyw9,360p,13,235
x7rfyw9,240p,7,235
x7rfyw9,144p,3,235
7rfyw9,720p,8.1,30
x7rfyw9,480p,3.1,30
x7rfyw9,360p,1.7,30
x7rfyw9,240p,0.9,30
x7rfyw9,144p,0.3,30
x7rlmep,1080p,137,176
x7rlmep,720p,48,176
x7rlmep,360p,18,176
x7rlmep,240p,10,176
x7rlmep,144p,2,176
x7rq501,720p,19.3,72
x7rq501,480p,7.5,30
x7rq501,360p,4.1,72
x7rq501,240p,2.2,72
x7rq501,144p,0.9,72
x7rqf48,1080p,74.7,93
x7rqf48,720p,25.8,93
x7rqf48,480p,5.5,93
x7rqf48,240p,3.3,93
x7rq501,144p,1.3,72
x7rlr7s,1080p,99.5,128
x7rlr7s,720p,34.4,128
x7rlr7s,480p,13.4,128
x7rlr7s,240p,3.9,128
x7rlr7s,144p,1.7,128
x7robun,1080p,148.5,191
x7robun,720p,51.3,191
x7robun,480p,20,191
x7robun,360p,11,191
x7robun,240p,5.9,191
x7rlmep,1080p,147,189
x7rlmep,720p,50.8,189
x7rlmep,480p,19.8,189
x7rlmep,360p,10.9,189
x7rlmep,240p,5.8,189
x7rlmep,144p,2.5,189
x7rnqin,1080p,220.9,284
x7rnqin,720p,76.3,284
x7rnqin,480p,29.7,284
x7rnqin,360p,16.3,284
x7rnqin,240p,8.7,284
x7rnqin,144p,3.7,284
x7rns3t,1080p,129.9,167
x7rns3t,720p,44.9,167
x7rns3t,480p,17.5,167
x7rns3t,360p,9.6,167
x7rns3t,240p,5.1,167
x7rns3t,144p,2.2,167
x7rnx40,1080p,159.6,205
x7rnx40,720p,55.1,205
x7rnx40,480p,21.4,205
x7rnx40,360p,11.8,205
x7rnx40,240p,6.3,205
x7rnx40,144p,2.7,205
x7rprxx,1080p,57.5,74
x7rprxx,720p,19.9,74
x7rprxx,480p,7.7,74
x7rprxx,360p,4.3,74
x7rprxx,240p,2.3,74
x7rprxx,144p,0.9,74
x7rolcz,720p,44.1,164
x7rolcz,480p,9.4,164
x7rolcz,360p,17.1,164
x7rolcz,240p,5.1,164
x7rolcz,144p,2.2,164
x7rp7v7,1080p,46.7,60
x7rp7v7,720p,16.1,60
x7rp7v7,480p,6.3,60
x7rp7v7,360p,3.5,60
x7rp7v7,240p,1.8,60
x7rp7v7,144p,0.7,60
x7roe93,720p,22.3,83
x7roe93,480p,8.7,83
x7roe93,360p,4.8,83
x7roe93,240p,2.6,83
x7roe93,144p,1.7,83
x7rq9jg,1080p,172.6,222
x7rq9jg,720p,59.6,222
x7rq9jg,480p,23.2,222
x7rq9jg,360p,12.8,222
x7rq9jg,240p,6.8,222
x7rq9jg,144p,2.9,222
x7rnoxc,1080p,119.8,153
x7rnoxc,720p,41.4,153
x7rnoxc,480p,16.1,153
x7rnoxc,360p,8.9,153
x7rnoxc,240p,4.7,153
x7rnoxc,144p,2,153
x7rpmcw,1080p,48.2,62
x7rpmcw,720p,16.7,62
x7rpmcw,480p,6.5,62
x7rpmcw,360p,3.6,62
x7rpmcw,240p,1.9,62
x7rpmcw,144p,0.8,62
x7ro6iy,1080p,178.1,229
x7ro6iy,720p,61.5,229
x7ro6iy,1080p,23.9,229
x7ro6iy,360p,13.2,229
x7ro6iy,240p,7.1,229
x7ro6iy,144p,3,229
x7ro3a7,1080p,70.8,91
x7ro3a7,720p,24.4,91
x7ro3a7,480p,9.5,91
x7ro3a7,360p,5.2,91
x7ro3a7,240p,2.8,91
x7ro3a7,144p,1.2,91
x7rq7o9,1080p,73.1,94
x7rq7o9,720p,25.3,94
x7rq7o9,480p,9.8,94
x7rq7o9,360p,5.4,94
x7rq7o9,240p,2.8,94
x7rq7o9,144p,1.2,94
x7roqve,1080p,68.4,88
x7roqve,720p,23.6,88
x7roqve,480p,9.2,88
x7roqve,360p,9.2,88
x7roqve,240p,2.7,88
